#Data Set Export - Discharge.Recorder@008471,,,,,
Timestamp (UTC),Value (Cubic Feet Per Second),Grade Code,Approval Level,Interpolation Type,Event Timestamp
2014-12-02 16:27:00,4.03000020980835,1,650,1,
2014-12-02 16:42:00,6.03999996185303,1,650,1,
2014-12-02 16:57:00,7.05000019073486,1,650,1,
2014-12-02 17:12:00,-4.69000005722046,1,650,1,
2014-12-02 17:27:00,10.7299995422363,1,650,1,
2014-12-02 17:42:00,0,1,650,1,
2014-12-02 17:57:00,8.72000026702881,1,650,1,
2014-12-02 18:12:00,3.01999998092651,1,650,1,
2014-12-02 18:27:00,2.33999991416931,1,650,1,
2014-12-02 18:42:00,10.0500001907349,1,650,1,
2014-12-02 18:57:00,-0.330000013113022,1,650,1,
2014-12-02 19:12:00,3.33999991416931,1,650,1,
2014-12-02 19:27:00,10.3699998855591,1,650,1,
2014-12-02 19:42:00,4.67999982833862,1,650,1,
2014-12-02 19:57:00,3.67000007629395,1,650,1,
2014-12-02 20:12:00,-3.32999992370605,1,650,1,
2014-12-02 20:27:00,-6.32999992370605,1,650,1,
2014-12-02 20:42:00,2.32999992370605,1,650,1,
2014-12-02 20:57:00,-3,1,650,1,
2014-12-02 21:12:00,5.32999992370605,1,650,1,
2014-12-02 21:27:00,-1.99000000953674,1,650,1,
2014-12-02 21:42:00,-1.6599999666214,1,650,1,
2014-12-02 21:57:00,2.66000008583069,1,650,1,
2014-12-02 22:12:00,2.66000008583069,1,650,1,
2014-12-02 22:27:00,-1.6599999666214,1,650,1,
2014-12-02 22:42:00,-7.96000003814697,1,650,1,
2014-12-02 22:57:00,-0.660000026226044,1,650,1,
2014-12-02 23:12:00,0.660000026226044,1,650,1,
2014-12-02 23:27:00,1.99000000953674,1,650,1,
2014-12-02 23:42:00,2.98000001907349,1,650,1,
2014-12-02 23:57:00,2.3199999332428,1,650,1,
2014-12-03 00:12:00,2.3199999332428,1,650,1,
2014-12-03 00:27:00,9.9399995803833,1,650,1,
2014-12-03 00:42:00,4.30000019073486,1,650,1,
2014-12-03 00:57:00,0.660000026226044,1,650,1,
2014-12-03 01:12:00,1.6599999666214,1,650,1,
2014-12-03 01:27:00,5.63000011444092,1,650,1,
2014-12-03 01:42:00,-3.97000002861023,1,650,1,
2014-12-03 01:57:00,13.8999996185303,1,650,1,
2014-12-03 02:12:00,11.9099998474121,1,650,1,
2014-12-03 02:27:00,8.27000045776367,1,650,1,
2014-12-03 02:42:00,4.63000011444092,1,650,1,
2014-12-03 02:57:00,20.5100002288818,1,650,1,
2014-12-03 03:12:00,1.32000005245209,1,650,1,
2014-12-03 03:27:00,0,1,650,1,
2014-12-03 03:42:00,1.32000005245209,1,650,1,
2014-12-03 03:57:00,0.330000013113022,1,650,1,
2014-12-03 04:12:00,-0.990000009536743,1,650,1,
2014-12-03 04:27:00,1.32000005245209,1,650,1,
2014-12-03 04:42:00,-3.63000011444092,1,650,1,
2014-12-03 04:57:00,4.96000003814697,1,650,1,
2014-12-03 05:12:00,7.26000022888184,1,650,1,
2014-12-03 05:27:00,11.2299995422363,1,650,1,
2014-12-03 05:42:00,4.96000003814697,1,650,1,
2014-12-03 05:57:00,8.25,1,650,1,
2014-12-03 06:12:00,7.59000015258789,1,650,1,
2014-12-03 06:27:00,6.92999982833862,1,650,1,
2014-12-03 06:42:00,1.32000005245209,1,650,1,
2014-12-03 06:57:00,-2.30999994277954,1,650,1,
2014-12-03 07:12:00,1.64999997615814,1,650,1,
2014-12-03 07:27:00,2.64000010490417,1,650,1,
2014-12-03 07:42:00,-1.32000005245209,1,650,1,
2014-12-03 07:57:00,7.25,1,650,1,
2014-12-03 08:12:00,4.61999988555908,1,650,1,
2014-12-03 08:27:00,2.97000002861023,1,650,1,
2014-12-03 08:42:00,2.97000002861023,1,650,1,
2014-12-03 08:57:00,11.8699998855591,1,650,1,
2014-12-03 09:12:00,1.64999997615814,1,650,1,
2014-12-03 09:27:00,1.32000005245209,1,650,1,
2014-12-03 09:42:00,0,1,650,1,
2014-12-03 09:57:00,-1.30999994277954,1,650,1,
2014-12-03 10:12:00,14.5,1,650,1,
2014-12-03 10:27:00,5.92999982833862,1,650,1,
2014-12-03 10:42:00,2.97000002861023,1,650,1,
2014-12-03 10:57:00,-4.28000020980835,1,650,1,
2014-12-03 11:12:00,-1.64999997615814,1,650,1,
2014-12-03 11:27:00,1.30999994277954,1,650,1,
2014-12-03 11:42:00,-0.330000013113022,1,650,1,
2014-12-03 11:57:00,4.6100001335144,1,650,1,
2014-12-03 12:12:00,6.25,1,650,1,
2014-12-03 12:27:00,0.980000019073486,1,650,1,
2014-12-03 12:42:00,-8.90999984741211,1,650,1,
2014-12-03 12:57:00,-2.97000002861023,1,650,1,
2014-12-03 13:12:00,-4.28000020980835,1,650,1,
2014-12-03 13:27:00,12.8400001525879,1,650,1,
2014-12-03 13:42:00,2.96000003814697,1,650,1,
2014-12-03 13:57:00,-0.330000013113022,1,650,1,
2014-12-03 14:12:00,6.57999992370605,1,650,1,
2014-12-03 14:27:00,-0.980000019073486,1,650,1,
2014-12-03 14:42:00,-1.63999998569489,1,650,1,
2014-12-03 14:57:00,-2.29999995231628,1,650,1,
2014-12-03 15:12:00,1.30999994277954,1,650,1,
2014-12-03 15:27:00,4.59999990463257,1,650,1,
2014-12-03 15:42:00,11.5100002288818,1,650,1,
2014-12-03 15:57:00,2.29999995231628,1,650,1,
2014-12-03 16:12:00,0,1,650,1,
2014-12-03 16:27:00,7.55000019073486,1,650,1,
2014-12-03 16:42:00,-2.61999988555908,1,650,1,
2014-12-03 16:57:00,5.57999992370605,1,650,1,
2014-12-03 17:12:00,8.19999980926514,1,650,1,
2014-12-03 17:27:00,-0.980000019073486,1,650,1,
2014-12-03 17:42:00,11.4899997711182,1,650,1,
2014-12-03 17:57:00,9.85000038146973,1,650,1,
2014-12-03 18:12:00,5.90000009536743,1,650,1,
